name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
0797 7841117,0797 7841117,,5401.166N,00034.616W,72M,2,,000M,,0797 7841117
7747885677,7747885677,,5106.583N,00207.816W,141M,2,,000M,,7747885677
7968160021,7968160021,,5401.150N,00034.600W,72M,2,,000M,,7968160021
Abbot's Bromley,ABB,,5248.780N,00154.594W,328ft,1,,,,Turn Point, Reservoir/B5013 E, E end of B5013 crossing water, 1.5 NMl W of town. Easy to find and on chart.
Aberaeron,Aberaeron,,5214.266N,00416.366W,51M,2,,000M,,Aberaeron
Aberchirder,ABR,,5733.512N,00237.802W,394ft,1,,,,Turn Point, A97/B9023, T junction SW side of town.  6 NMl W of Turriff. Easy to find but not on chart.
Aberdare SE,ADE,,5142.023N,00324.943W,394ft,1,,,,Turn Point, Bridge, A4059 bridge over river Cynon between Aberdare and Mountain Ash. Easy to find but not on chart.
Aberedw Hill (Builth Wells),Aberedw Hill (Builth Wells),,5209.633N,00320.833W,374M,2,,000M,,Aberedw Hill (Builth Wells)
Aberfeldy,ABF,,5637.270N,00352.428W,197ft,1,,,,Turn Point, B846/River Tay, Bridge NW of town towards Weem village, N of A827. Easy to find and on chart.
Aberfoyle,ABL,,5610.717N,00423.070W,66ft,1,,,,Turn Point, A821/B829, T Junction W of town where A821 goes N towards Loch Katrine. Easy to find and on chart.
Abergavenny SW,ABS,,5148.025N,00303.621W,1833ft,1,,,,Turn Point, 1833ft Trig point, 2nm SW of Abergavenny, top of mountain called Blorenge.  Point intended for ridge soaring cross-countries, watch for hang gliders. Easy to find and on chart.
Abergavenny,ABE,,5148.575N,00300.587W,230ft,1,,,,Turn Point, A465/A40 R'bt, SSE side of town 600m E of river, 100m W of rly. Easy to find and on chart.
Abergele South,AGS,,5315.124N,00335.765W,509ft,1,,,,Turn Point, A544/B5381, 2.5 NMl S of coast at bottom of ridge to S. Easy to find and on chart.
Abernant,Abernant,,5145.666N,00353.766W,320M,2,,000M,,Abernant
Abertysswg (TO) [W-NW],Abertysswg (TO) [W-NW],,5144.816N,00314.700W,393M,2,,000M,,Abertysswg (TO) [W-NW]
ABERTYSSWG,ABERTYSSWG,,5144.666N,00314.733W,414M,2,,000M,,ABERTYSSWG
Aberystwyth Pier,ABY,,5224.980N,00405.291W,15ft,1,,,,Turn Point, Sea end, W side of town.  Note laser area centred 1 NMl E of pier. Easy to find but not on chart.
ABERYSTWYTH,ABERYSTWYTH,,5222.433N,00404.083W,27M,2,,000M,,ABERYSTWYTH
Abingdon Bridge,ABN,,5140.120N,00116.766W,164ft,1,,,,Turn Point, A415 br over River Thames, SE side of town just S of church tower.  Small island is in middle of bridge.  Avoids Abingdon airfield parachuting zone. Easy to find and on chart.
Abingdon,Abingdon,,5141.250N,00118.966W,69M,2,,000M,,Abingdon
Abington,ABI,,5530.146N,00341.788W,853ft,1,,,,Turn Point, M74/A702/A73, Flyover over M74 N side of village 10 NMl SSE of Lanark. Easy to find and on chart.
Aboyne Bridge,AB1,,5704.213N,00247.239W,450ft,1,,,,Turn Point, Road Br over R Dee, S side of village bet A93 and B976, 2NMl E of airfield, under CTA base 3000. Easy to find and on chart.
Aboyne Dinnet,ABD,,5704.301N,00253.397W,492ft,1,,,,Turn Point, B9119/River Bridge, Bridge over river Dee joining roads running N & S of river 2 NML W of gliding site. Easy to find and on chart.
Aboyne,ABO,,5704.515N,00250.571W,460ft,4,,,,Turn Point, Difficult to find, Clubhouse, Deeside GC site, 1.5 NMl W of Aboyne village & CTA base 3000 ft. Difficult to find.
Aboyne,Aboyne,,5704.500N,00250.083W,136M,2,,000M,,Aboyne
Accrington North East,ACC,,5346.883N,00219.748W,395ft,1,,,,Turn Point, M65 J8 with A56, Bet Accrington & Burnley.  TMA to S. Easy to find and on chart.
Achnabourin,ACN,,5829.280N,00412.768W,115ft,1,,,,Turn Point, A836/B871, T Junction 2 NML S of Bettyhill on N coast of Scotland.  150m W of River Naver. Note Restricted Area R610. Easy to find but not on chart.
Achnasheen,ACH,,5734.694N,00504.810W,510ft,1,,,,Turn Point, A832/A890, Roundabout SW side of village.  In area R610A up to 5000ASL, check status before using point. Easy to find and on chart.
Addingham Moorside,Addingham Moorside,,5355.200N,00153.033W,358M,2,,000M,,Addingham Moorside
Addlebrough,Addlebrough,,5417.283N,00205.100W,469M,2,,000M,,Addlebrough
Airdrie Southwest,ASW,,5550.472N,00401.473W,151ft,1,,,,Turn Point, A725 bridge over A8, At Old Monkland, S of VRP Coatbridge. TMA over at 2500 ft. TP intended for dog-leg between Glasgow and Edinburgh CTRs. Easy to find and on chart.
Airways Airsports,Airways Airsports,,5258.116N,00145.116W,180M,2,,000M,,Airways Airsports
Alcester,ALC,,5212.438N,00152.640W,148ft,1,,,,Turn Point, River/A46, Br. over R. Arrow SSW edge of town, between two rbts. Easy to find and on chart.
ALDFORD,ALDFORD,,5308.483N,00253.083W,21M,2,,000M,,ALDFORD
Alford,AFD,,5714.272N,00243.527W,492ft,1,,,,Turn Point, A944/A980, T junction W of town. Easy to find and on chart.
ALFORD,ALFORD,,5315.633N,00009.450E,15M,2,,000M,,ALFORD
Alfreton South,ALS,,5303.475N,00125.048W,236ft,1,,,,Turn Point, A38/A610, Roundabout 2.5 NMl SSW of town. Easy to find and on chart.
Alfreton,ALF,,5306.072N,00119.466W,253ft,1,,,,Turn Point, M1 J28/A38, 2 NMl E of town, towards Mansfield. Easy to find and on chart.
Alfriston Bridge,AFB,,5048.698N,00009.734E,30ft,1,,,,Turn Point, Difficult to find, River Bridge, Road Bridge over River Cuckmere NE side of Alfriston village.  On South Downs ridge 4 NMl W of Eastbourne. Difficult to find.
ALLONBY,ALLONBY,,5446.200N,00325.400W,8M,2,,000M,,ALLONBY
Aln Bridge,ALB,,5524.323N,00151.793W,195ft,1,,,,Turn Point, A697/River Aln, Bridge over R Aln 6NMl W of Alnwick. Easy to find and on chart.
Alnwick Moor SW,ALM,,5520.991N,00150.779W,653ft,1,,,,Turn Point, A697/B6341, Crossroads between Rothbury and Alnwick, E of large wood. Easy to find and on chart.
Alston,ALO,,5448.576N,00226.547W,885ft,1,,,,Turn Point, A689 Br over R South Tyne, SW side of village. Caution, rugged terrain. Easy to find and on chart.
Altnaharra,AHA,,5817.210N,00426.578W,255ft,1,,,,Turn Point, A836 river br, Over R Mudale, west end of Loch Naver. In area R610A up to 5000ASL, check status before using point. Easy to find and on chart.
Alton Southwest,ALW,,5107.931N,00059.689W,551ft,1,,,,Turn Point, A31/A32 r'bt, Furthest SW roundabout SW of town, W of Chawton village. Easy to find and on chart.
Alton Towers,ATW,,5258.833N,00153.671W,217ft,1,,,,Turn Point, Difficult to find, River/Road Bridge, Br over river Churnet between theme park & village. Difficult to find.
Alton,ALT,,5109.071N,00058.052W,479ft,1,,,,Turn Point, Difficult to find, Station Bridge W, Rail Br over B3004, W side of stn, nr town centre. Difficult to find.
ALUM BAY,ALUM BAY,,5039.966N,00132.333W,23M,2,,000M,,ALUM BAY
Alva,ALV,,5609.166N,00347.916W,102ft,1,,,,Turn Point, Difficult to find, A91/B908, T junction in town centre. Difficult to find.
Alva,Alva,,5609.833N,00348.983W,504M,2,,000M,,Alva
Alyth,ALY,,5636.992N,00312.707W,295ft,1,,,,Turn Point, A926/B954, Roundabout 1 NMl SE of town. Easy to find and on chart.
AMB001,AMB001,,5053.816N,00032.533W,5M,2,,000M,,AMB001
Amberley,AMB,,5053.816N,00032.538W,151ft,1,,,,Turn Point, Rail/B2139, 3 NMl SW of Parham [Southdown GC Gliding Site]. Easy to find and on chart.
Ambleside,AMS,,5425.594N,00258.150W,135ft,1,,,,Turn Point, A593 Bridge, Bridge over R Rydal SW edge of  town at N end of Lake Windermere.  Caution, rugged terrain. Easy to find and on chart.
AMBLESIDE,AMBLESIDE,,5426.150N,00258.666W,51M,2,,000M,,AMBLESIDE
Amulree,AMU,,5630.612N,00347.301W,883ft,1,,,,Turn Point, A822/River Br, Over R Braan, in village centre near sharp bend in A822 to N. Easy to find and on chart.
Andover SE,ANE,,5112.029N,00127.004W,410ft,1,,,,Turn Point, A303/Andover bypass E, A303 over dual carriageway to N at Cow Down. Easy to find and on chart.
Andover SW,AND,,5112.066N,00130.439W,249ft,1,,,,Turn Point, A303/A343, SW Edge of Town, A343 is Mid Wallop/Salisbury Rd. Easy to find and on chart.
Andoversford,ADF,,5152.547N,00157.853W,541ft,1,,,,Turn Point, A436/A40, Most N of two T junctions near village centre. Easy to find and on chart.
Andreas,Andreas,,5422.166N,00425.400W,27M,2,,000M,,Andreas
Aonach Mor,Aonach Mor,,5650.566N,00458.333W,578M,2,,000M,,Aonach Mor
Appleby,APP,,5435.272N,00229.940W,525ft,1,,,,Turn Point, Rail/A66, Bridge NW side of town 18 NMl NNE of Kendal. Easy to find and on chart.
Arbroath,Arbroath,,5634.916N,00237.266W,54M,2,,000M,,Arbroath
Ardrishaig Lighthouse,ARL,,5600.738N,00526.646W,10ft,1,,,,Turn Point, Lighthouse, End of pier E side of Ardrishaig, 2 NMl S of Lochgilphead town.  Caution, few landing areas. Easy to find and on chart.
Ardvasar,ARD,,5703.883N,00553.615W,10ft,1,,,,Turn Point, Pier sea end, End of A851 NE of village.  In Armadale Bay, E coast of Skye. Easy to find but not on chart.
Arenigs,Arenigs,,5254.700N,00345.250W,565M,2,,000M,,Arenigs
Arreton,Arreton,,5040.866N,00113.716W,105M,2,,000M,,Arreton
ARU001,ARU001,,5051.416N,00033.300W,34M,2,,000M,,ARU001
Arundel,ARU,,5051.413N,00033.303W,125ft,1,,,,Turn Point, Castle Keep, Circular keep, NE side of town.  3 NMl from coast, nr Bognor. Easy to find but not on chart.
ASH004,ASH004,,5108.233N,00054.633E,51M,2,,000M,,ASH004
Ashbourne,ASH,,5300.021N,00141.822W,574ft,2,130,1960ft,,Turn Point, Difficult to find, A/F SE end R/W 32, Minor road across R/W 32 at SE end. Difficult to find.
Ashbury,ASB,,5133.833N,00137.094W,374ft,1,,,,Turn Point, Difficult to find, B4000/B4507, Main crossroads in village centre, 2.5 NMl SE of Shrivenham. Difficult to find.
Ashford East,ASE,,5108.229N,00054.640E,400ft,1,,,,Turn Point, M20 J10/A20, 1 NMl ESE of town. Easy to find and on chart.
Ashford South,ASS,,5104.092N,00051.279E,315ft,1,,,,Turn Point, A2070/Rail Bridge, SW side of Hamstreet Station, 4 NMl S of Ashford. Easy to find and on chart.
Ashley,ASY,,5255.183N,00223.440W,640ft,1,,,,Turn Point, Difficult to find, A53/B502, W of 2 T junctions, W edge of town, 7 NMl SW of Stoke-on-Trent. Difficult to find.
Aspatria,ASP,,5445.549N,00319.904W,164ft,1,,,,Turn Point, Rail Station, S side of town. Easy to find and on chart.
Aston Down,AST,,5142.358N,00207.916W,600ft,4,30,3280ft,130.1,Turn Point, Difficult to find, R/Ws 26/20, SW intersection at Cotswold GC site. Difficult to find.
Aston Down,Aston Down,,5142.466N,00207.833W,182M,2,,000M,,Aston Down
Atherfield,Atherfield,,5037.033N,00122.333W,4M,2,,000M,,Atherfield
Atherstone,ATH,,5234.821N,00133.239W,318ft,1,,,,Turn Point, A5/Rail Bridge, NW edge of town, near canal. Easy to find and on chart.
Attermire,Attermire,,5404.816N,00214.600W,471M,2,,000M,,Attermire
Attleborough,ATT,,5231.279N,00100.638E,164ft,1,,,,Turn Point, A11 Br over B1077, N side of town, 10 NMl ENE of Thetford. Avoid Old Buckenham ATZ to the SE. Easy to find and on chart.
ATZ_MAN,ATZ_MAN,,5121.266N,00120.266E,37M,2,,000M,,ATZ_MAN
ATZ_MID,ATZ_MID,,5108.383N,00134.100W,80M,2,,000M,,ATZ_MID
ATZ_POR,ATZ_POR,,5050.250N,00110.133W,0M,2,,000M,,ATZ_POR
ATZ_SHO,ATZ_SHO,,5049.216N,00018.633W,0M,2,,000M,,ATZ_SHO
Auldgirth,AUL,,5509.549N,00342.466W,115ft,1,,,,Turn Point, Bridge, A76 bridge over river Nith, between Thornhill and Dumfries. Easy to find and on chart.
Avebury,AVE,,5125.159N,00152.482W,335ft,1,,,,Turn Point, A4/A361R'bout, 1 NMl SW of village, 8 NMl W of Marlborough. Easy to find and on chart.
avoid drifting into flats,avoid drifting into the flats,,5050.550N,00021.466E,1M,2,,000M,,avoid drifting into the flats
AWRE,AWRE,,5145.683N,00226.633W,16M,2,,000M,,AWRE
Axminster,AXM,,5046.791N,00300.268W,236ft,1,,,,Turn Point, Station/Road Br, Road Br. over rwy N side of stn on SW side of town. Easy to find but not on chart.
